employee_id,first_name,last_name,email,phone_number,date_of_birth,gender,hire_date,job_title,department,salary,bonus,is_active,address,city,state,country,postal_code,created_at,updated_at
1,Kathryn,Sims,moorebrittney@harrison.org,+16422138571586,1995-08-10,Female,2016-05-07,HR Executive,IT,61070.01,10225.49,False,2733 David Track,Hamiltonstad,Wisconsin,Czech Republic,16371,2022-09-28 12:56:09,2021-02-20 06:17:01
2,James,Jensen,jocelyn21@morris.com,759784409924388,1971-11-21,Female,2020-09-11,HR Executive,Sales,100005.84,18162.26,True,10788 Berg Island Suite 357,New Jennifer,Alaska,Saint Vincent and the Grenadines,63656,2021-03-10 08:38:11,2020-01-05 08:16:14
3,Christopher,Horn,lewisjennifer@gmail.com,1054310325,1990-06-11,Female,2024-05-30,Data Analyst,IT,104204.28,5010.13,True,3609 Ashley Mission Apt. 623,New Daisymouth,Wisconsin,Fiji,39148,2023-11-06 13:43:39,2022-11-29 08:04:47
4,Alexandra,Henry,justin29@hotmail.com,8478565640374,1991-10-30,Female,2022-09-07,Software Engineer,IT,137860.59,13679.68,False,73293 Molly Groves,New Melissa,Texas,Libyan Arab Jamahiriya,16412,2024-02-04 05:31:27,2022-02-09 20:53:51
5,Ryan,White,loganjohnson@martinez.com,8011922935,1989-04-25,Other,2017-02-02,Software Engineer,Sales,82100.62,12217.74,True,7259 Catherine Track,Morrisonville,Florida,Italy,13024,2021-08-08 14:41:48,2021-02-08 16:18:42
6,Gregory,Watts,sharrington@hotmail.com,5275811600356,1981-04-14,Other,2021-01-08,HR Executive,Marketing,133837.19,5209.85,True,151 Franklin Hills Apt. 605,Garyland,Oklahoma,Falkland Islands (Malvinas),60558,2020-01-20 07:29:24,2025-04-11 09:45:11
7,Connie,Gates,ustewart@bradley-grimes.com,001895716474060,1973-05-13,Male,2020-07-03,HR Executive,IT,103427.65,16561.27,False,9277 Chelsea Drives Suite 042,North Robert,Wisconsin,Malawi,59853,2024-07-17 16:51:35,2021-03-06 19:33:01
8,Rebecca,Underwood,callahandennis@hotmail.com,285921131373065,1982-05-19,Male,2021-06-07,Project Manager,IT,52928.05,11350.21,True,8047 Barr Fork Suite 089,Rittermouth,Indiana,Zimbabwe,74257,2022-12-19 23:05:15,2022-07-01 07:01:23
9,Lauren,Thompson,meganaguilar@hotmail.com,001431562449260,1977-01-14,Male,2022-01-12,Sales Manager,Marketing,40945.91,19864.43,False,19381 Mario Mission Apt. 229,Port Susanview,Indiana,Martinique,08480,2024-03-13 13:31:06,2020-08-15 15:09:44
10,Andre,Williams,tylerdavis@hotmail.com,2738499125,2001-07-04,Male,2015-05-29,Project Manager,Finance,64930.88,2496.21,False,483 Smith Loop Suite 154,Loriport,Oregon,Canada,46652,2020-04-29 03:50:31,2020-02-15 01:05:32
11,Mary,Harper,diane95@townsend.info,06369740297810,1967-05-15,Other,2016-12-08,Data Analyst,Finance,95667.61,5753.15,True,6923 Anthony Canyon,Sullivanport,Hawaii,Tajikistan,50346,2020-03-22 17:06:08,2022-09-17 14:57:25
12,Crystal,Stone,benjamin77@jones-perez.com,593067803572933,1966-10-27,Other,2018-10-17,HR Executive,Sales,99078.12,5806.59,True,5542 Barbara Mall,Brianfurt,Delaware,Saudi Arabia,75061,2024-03-26 06:29:47,2021-05-19 06:29:39
13,Laura,Floyd,aanderson@trevino.biz,628795098338673,2003-04-21,Male,2016-09-21,Software Engineer,Finance,147755.97,5201.12,True,24051 Christine Route,New Robert,Alabama,Serbia,48530,2021-03-03 20:39:58,2020-05-18 05:17:55
14,Zachary,Espinoza,jonesashley@gmail.com,+19460394351475,1982-06-02,Male,2017-03-23,Data Analyst,HR,140805.72,16849.2,False,3533 Jacob Lane Apt. 842,Rebeccatown,Ohio,Paraguay,06233,2024-07-19 02:36:32,2023-09-09 12:41:26
15,Gail,King,rgraham@dawson-nielsen.com,001384118685221,1984-06-12,Other,2018-05-09,Sales Manager,Sales,92614.81,4710.03,True,3893 Tim Fields Suite 645,Port Valeriemouth,South Dakota,Guernsey,66907,2021-02-06 21:06:10,2020-07-13 19:07:20
16,Sarah,Murray,wgregory@hotmail.com,001759472406179,1991-03-14,Other,2019-04-30,Sales Manager,Marketing,99563.4,9011.26,False,169 Hooper Burgs Apt. 668,Jeremybury,Hawaii,Palau,85931,2020-12-02 18:18:58,2020-12-28 11:18:45
